# ==========================================
# --- СИНГЛИ ТА ОКРЕМІ ТРЕКИ ---
# ==========================================
RMB | Ring My Bell | Unknown Album | RMB | 2000 | Electronic | 1 | 1 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9f/1f/fe/9f1ffe4a-b2a3-e88f-376b-684b29c8bbcd/8878c763-07a5-4c36-b963-371653b557a6.png/600x600bb.jpg |  |
Chief Keef | Hate Bein' Sober (feat. 50 Cent & Wiz Khalifa) | Finally Rich | Chief Keef | 2012 | Hip-Hop | 1 | 1 | https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0a/4c/c2/0a4cc286-d3fa-9782-ec88-6f36be8e6750/12UMGIM59937.rgb.jpg/600x600bb.jpg |  |
# ==========================================
# --- Dominic Fike - Sunburn (2023) ---
# ==========================================
Dominic Fike | How Much Is Weed? | Sunburn | Dominic Fike | 2023 | Alternative | 1 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Ant Repellent | Sunburn | Dominic Fike | 2023 | Alternative | 2 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Think Fast | Sunburn | Dominic Fike | 2023 | Alternative | 3 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Sick | Sunburn | Dominic Fike | 2023 | Alternative | 4 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | 7 Hours | Sunburn | Dominic Fike | 2023 | Alternative | 5 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Dancing In The Courthouse | Sunburn | Dominic Fike | 2023 | Alternative | 6 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/04/38/a1/0438a1b1-1a58-2cfa-ad2b-f7824f1b367d/196871034531.jpg/600x600bb.jpg |  |
Dominic Fike | Mona Lisa | Sunburn | Dominic Fike | 2023 | Alternative | 7 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Bodies | Sunburn | Dominic Fike | 2023 | Alternative | 8 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | Sunburn | Sunburn | Dominic Fike | 2023 | Alternative | 9 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | Pasture Child | Sunburn | Dominic Fike | 2023 | Alternative | 10 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | 4x4 | Sunburn | Dominic Fike | 2023 | Alternative | 11 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | Frisky | Sunburn | Dominic Fike | 2023 | Alternative | 12 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | Mama's Boy | Sunburn | Dominic Fike | 2023 | Alternative | 13 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
Dominic Fike | Dark | Sunburn | Dominic Fike | 2023 | Alternative | 14 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/01/77/f9/0177f991-a79f-19c2-e01b-dc02c49c05bd/196871278003.jpg/600x600bb.jpg |  |
Dominic Fike | What Kinda Woman | Sunburn | Dominic Fike | 2023 | Alternative | 15 | 15 | https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/26/f8/32/26f83260-2fea-5e2a-d9d6-2327cff724a0/196871265683.jpg/600x600bb.jpg |  |
